kouhaku_name,rank,spotify_id,spotify_name,followers,popularity,similarity,score
薬師丸ひろ子,5,1QXFMGfCga8qSyUtVmjXrE,Hiroko Yakushimaru,154637,49,0.0,32.03991463858896
布袋寅泰,1,7i9bNUSGORP5MIgrii3cJc,B'z,1245875,67,0.0,39.52346201972428
布袋寅泰,2,0pr3ep0knQaPHEZ2X8niA0,BOØWY,604890,56,0.0,35.97861316360045
布袋寅泰,3,4Wet9Sqa5LrEjBeV4k6edh,AK-69,447388,57,0.0,35.617218561924986
布袋寅泰,4,1Fe6FA7A57suR2KAaERpqH,¥ellow Bucks,314763,60,0.0,35.5627871824711
布袋寅泰,5,73kxDUq2Hl7Upy4o0yFxXv,INI,190553,62,0.0,35.02863910232682
緑黄色社会,1,0XGVrQtpAZA0GP9jjI8GQf,緑仙,30599,27,0.2857142857142857,46.05303100122661
緑黄色社会,2,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,9604473,74,0.0,44.72488659998796
緑黄色社会,3,5V0oa9WaeYkBszHV6ItVD6,なにわ男子,228853,58,0.0,44.56952832815365
緑黄色社会,4,4SJ7qRgJYNXB9Yttzs4aSa,Ryokuoushoku Shakai,1437284,63,0.0,38.98946824710796
緑黄色社会,5,1qM11R4ylJyQiPJ0DffE9z,Lilas,888436,66,0.0,38.69411206339555
三浦大知,1,0ADlhQpMiHRrXrY7HLCswf,三浦大知,124,0,1.0,58.971807222123864
三浦大知,2,3w6COh5nodshWjNOC2ZWqY,三浦春馬,87684,29,0.5,56.983944371683606
三浦大知,3,01O1K2of8wkNZJhWRlRFcT,舟津真翔,79726,51,0.0,41.20685703694564
三浦大知,4,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,1839097,65,0.0,39.84830558266745
三浦大知,5,71UIOLnsacxQHlU55TvfiH,Da-iCE,829872,62,0.0,37.767190478614026
ウタ,1,5AqXDahKnnkwVLu1eQzAzb,ウタ,6,0,1.0,53.33493393021561
ウタ,2,40rWJjdPotR9uBaZGl9xNk,うたスタ,3847,42,0.3333333333333333,47.098142703219686
ウタ,3,1Hy1I0po5kR7rC9auxJbwL,ウタ・アリィ,511,12,0.5714285714285714,46.864661000577335
ウタ,4,6mEQK9m2krja6X1cfsAjfl,Ado,6832592,76,0.0,44.49108066339353
ウタ,5,7lbSsjYACZHn1MSDXPxNF2,Hikaru Utada,4169280,73,0.0,42.97169026743627
幾田りら,1,6GVsZoMbMt0jmqwcvz1a1F,汐れいら,44078,58,0.25,51.50380805956595
幾田りら,2,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,9604473,74,0.0,44.72488659998796
幾田りら,3,7JthQ6zwNzfxRfIEjp6wUs,HIRAIDAI,1839097,65,0.0,39.84830558266745
幾田りら,4,4SJ7qRgJYNXB9Yttzs4aSa,Ryokuoushoku Shakai,1437284,63,0.0,38.98946824710796
